GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS
87,"2,991",487,816,162,6,113,466,"1,329",330,638,28,0.273,0.348,0.444,0.792
84,"2,878",438,767,143,7,128,416,"1,308",255,692,39,0.267,0.329,0.454,0.784
88,"2,985",447,770,185,10,110,419,"1,305",246,766,31,0.258,0.320,0.437,0.757
86,"2,913",425,751,159,9,120,405,"1,288",238,743,31,0.258,0.320,0.442,0.762
86,"2,803",429,715,144,17,86,401,"1,151",325,757,36,0.255,0.337,0.411,0.748
85,"2,772",356,702,130,7,95,341,"1,131",263,708,38,0.253,0.325,0.408,0.733
86,"2,893",423,723,146,7,111,405,"1,216",294,754,23,0.250,0.330,0.420,0.751
85,"2,873",391,705,147,11,122,363,"1,240",278,739,29,0.245,0.316,0.432,0.748
87,"2,863",373,699,143,21,82,353,"1,130",262,724,49,0.244,0.311,0.395,0.706
86,"2,851",353,695,124,16,84,333,"1,103",238,697,57,0.244,0.306,0.387,0.693
86,"2,859",423,693,133,14,127,403,"1,235",336,804,36,0.242,0.327,0.432,0.759
89,"2,937",414,710,133,12,108,394,"1,191",344,738,79,0.242,0.325,0.406,0.731
87,"2,906",439,697,130,15,112,419,"1,193",366,781,26,0.240,0.335,0.411,0.746
86,"2,813",406,672,143,11,119,389,"1,194",317,803,41,0.239,0.322,0.424,0.747
84,"2,786",373,665,133,10,95,357,"1,103",281,791,48,0.239,0.314,0.396,0.710
86,"2,871",355,684,142,8,98,343,"1,136",246,757,26,0.238,0.303,0.396,0.699
85,"2,797",358,665,105,5,111,330,"1,113",341,773,18,0.238,0.324,0.398,0.721
87,"2,853",360,673,113,18,94,348,"1,104",285,863,55,0.236,0.308,0.387,0.695
87,"2,915",361,684,107,12,105,344,"1,130",256,784,52,0.235,0.302,0.388,0.690
88,"2,891",392,675,144,13,107,366,"1,166",306,758,36,0.233,0.315,0.403,0.718
85,"2,826",341,658,115,13,85,322,"1,054",256,825,61,0.233,0.302,0.373,0.675
88,"2,990",368,693,153,17,77,346,"1,111",293,795,20,0.232,0.306,0.372,0.677
87,"2,948",427,682,153,8,106,405,"1,169",331,884,56,0.231,0.316,0.397,0.713
86,"2,843",301,656,131,13,67,284,"1,014",271,705,28,0.231,0.303,0.357,0.659
83,"2,599",303,596,107,6,80,290,955,253,720,26,0.229,0.308,0.367,0.676
88,"2,876",347,657,135,11,90,332,"1,084",260,713,44,0.228,0.301,0.377,0.677
87,"2,814",368,637,109,16,113,351,"1,117",276,843,45,0.226,0.304,0.397,0.701
84,"2,722",356,616,121,13,100,338,"1,063",235,705,40,0.226,0.295,0.391,0.685
88,"2,877",385,632,124,10,107,366,"1,097",331,861,44,0.220,0.310,0.381,0.692
87,"2,813",357,611,128,5,106,345,"1,067",271,835,39,0.217,0.293,0.379,0.672
